,dataset_44528.dat,dataset_44529.dat,sum,pat
1700028P14Rik,0,1,1,0_1
1700029F09Rik,0,1,1,0_1
1700029F12Rik,0,1,1,0_1
1700029G01Rik,0,1,1,0_1
1700029H14Rik,0,1,1,0_1
1700029I01Rik,0,1,1,0_1
1700029J07Rik,0,1,1,0_1
1700029J11Rik,0,1,1,0_1
1700029P11Rik,0,1,1,0_1
1700030F18Rik,0,1,1,0_1
1700030J22Rik,0,1,1,0_1
1700030K09Rik,0,1,1,0_1
1700031F05Rik,0,1,1,0_1
1700034E13Rik,0,1,1,0_1
1700034F02Rik,0,1,1,0_1
1700034H14Rik,0,1,1,0_1
1700034I23Rik,0,1,1,0_1
1700034J05Rik,0,1,1,0_1
1700034O15Rik,0,1,1,0_1
1700037C18Rik,0,1,1,0_1
1700037H04Rik,0,1,1,0_1
1700039E15Rik,0,1,1,0_1
1700040I03Rik,0,1,1,0_1
1700040L02Rik,0,1,1,0_1
1700042B14Rik,0,1,1,0_1
1700042G07Rik,0,1,1,0_1
1700047I17Rik2,0,1,1,0_1
1700049G17Rik,0,1,1,0_1
1700052N19Rik,0,1,1,0_1
1700054N08Rik,0,1,1,0_1
1700054O13Rik,0,1,1,0_1
1700056E22Rik,0,1,1,0_1
1700057G04Rik,0,1,1,0_1
1700057K13Rik,0,1,1,0_1
1700058C13Rik,0,1,1,0_1
1700061G19Rik,0,1,1,0_1
1700061J05Rik,0,1,1,0_1
1700065D16Rik,0,1,1,0_1
1700065I17Rik,0,1,1,0_1
1700066B19Rik,0,1,1,0_1
1700066M21Rik,0,1,1,0_1
1700067P10Rik,0,1,1,0_1
1700071K01Rik,0,1,1,0_1
1700072E05Rik,0,1,1,0_1
1700074P13Rik,0,1,1,0_1
1700080E11Rik,0,1,1,0_1
1700080O16Rik,0,1,1,0_1
1700081L11Rik,0,1,1,0_1
1700084C01Rik,0,1,1,0_1
1700088E04Rik,0,1,1,0_1
1700090G07Rik,0,1,1,0_1
1700092M07Rik,0,1,1,0_1
1700093K21Rik,0,1,1,0_1
1700094C09Rik,0,1,1,0_1
1700094D03Rik,0,1,1,0_1
1700101E01Rik,0,1,1,0_1
1700102P08Rik,0,1,1,0_1
1700106J16Rik,0,1,1,0_1
1700106N22Rik,0,1,1,0_1
1700108M19Rik,0,1,1,0_1
1700109H08Rik,0,1,1,0_1
1700110M21Rik,0,1,1,0_1
1700112E06Rik,0,1,1,0_1
1700113H08Rik,0,1,1,0_1
1700113I22Rik,0,1,1,0_1
1700123I01Rik,0,1,1,0_1
1700123K08Rik,0,1,1,0_1
1700123O20Rik,0,1,1,0_1
1700125D06Rik,0,1,1,0_1
1700125H20Rik,0,1,1,0_1
1700129C05Rik,0,1,1,0_1
1810006K21Rik,0,1,1,0_1
1810008A18Rik,0,1,1,0_1
1810009A15Rik,0,1,1,0_1
1810009J06Rik,0,1,1,0_1
1810009N02Rik,0,1,1,0_1
1810010H24Rik,0,1,1,0_1
1810011H11Rik,0,1,1,0_1
1810011O10Rik,0,1,1,0_1
1810012P15Rik,0,1,1,0_1
1810013D10Rik,0,1,1,0_1
1810013L24Rik,0,1,1,0_1
1810014F10Rik,0,1,1,0_1
1810019J16Rik,0,1,1,0_1
1810020D17Rik,0,1,1,0_1
1810022C23Rik,0,1,1,0_1
1810022K09Rik,0,1,1,0_1
1810027O10Rik,0,1,1,0_1
1810029B16Rik,0,1,1,0_1
1810030J14Rik,0,1,1,0_1
1810030N24Rik,0,1,1,0_1
1810030O07Rik,0,1,1,0_1
1810031K17Rik,0,1,1,0_1
1810033B17Rik,0,1,1,0_1
1810035L17Rik,0,1,1,0_1
1810037I17Rik,0,1,1,0_1
1810041L15Rik,0,1,1,0_1
1810043G02Rik,0,1,1,0_1
1810043H04Rik,0,1,1,0_1
1810046J19Rik,0,1,1,0_1
1810046K07Rik,0,1,1,0_1
1810048J11Rik,0,1,1,0_1
1810049H13Rik,0,1,1,0_1
1810055G02Rik,0,1,1,0_1
1810063B05Rik,0,1,1,0_1
1810063B07Rik,0,1,1,0_1
1810065E05Rik,0,1,1,0_1
1810074P20Rik,0,1,1,0_1
2-Mar,0,1,1,0_1
2-Sep,0,1,1,0_1
2010001E11Rik,0,1,1,0_1
2010001M09Rik,0,1,1,0_1
2010002M12Rik,0,1,1,0_1
