"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HNRNPR:NM_028871",2032.49315350717,-0.426633550545776,0.121812913761928,6.93682012706398e-05,0.0143153626303886
"IVNS1ABP:NM_001039511:NM_054102:NM_001039512",6854.34334244767,0.0143916440681429,0.0980364241564367,6.66833266163703e-05,0.0143153626303886
"TECPR1:NM_027410",14674.0765670185,0.228635373060474,0.0912959259907414,6.92580187399183e-05,0.0143153626303886
"CDC73:NM_145991",728.892321722338,-0.158691664029623,0.168292439021075,7.3362855493087e-05,0.0148974861687475
"TMX3:NM_198295",1549.21651718256,-0.219393893353823,0.196176515132251,7.88138622767083e-05,0.0157965498248888
"ATP5K:NM_007507",381.722691219934,-1.01753599025125,0.247863608313704,8.39205569141212e-05,0.0159894562327856
"DNAJA1:NM_008298:NM_001164671:NM_001164672",1589.10666684031,-0.419540546332999,0.157153731756251,8.37270971760398e-05,0.0159894562327856
"PLXDC2:NM_026162",2401.45933033805,0.413528149021438,0.119768054537709,8.35825757387415e-05,0.0159894562327856
"UTP20:NM_175158",1442.5012518743,0.147969248074452,0.130590360215342,8.18375944174648e-05,0.0159894562327856
"RB1:NM_009029",1311.47141304705,-0.319173021291455,0.153547244207198,8.66537924490331e-05,0.0163088777910479
"ARHGAP5:NM_009706",652.201247668235,0.210656572978593,0.305719149483425,9.84864085937437e-05,0.0177349660457752
"CBL:NM_007619",8353.29172488813,0.284750295512997,0.096787525173395,9.8827647245297e-05,0.0177349660457752
"GABBR1:NM_019439",1842.24037783406,0.511317432908494,0.126765892960006,9.76226706670766e-05,0.0177349660457752
"TAGLN:NM_011526",242.179328025398,0.454805185619712,0.318316822171908,9.79390274525052e-05,0.0177349660457752
"CMPK1:NM_025647",1081.88010930934,-0.306816667679425,0.147389274486635,0.00010095907517941,0.0179092115775153
"UBE2K:NM_016786",1082.60014463575,-0.344866279566659,0.153720285571222,0.00010232002813626,0.0179443749343967
"TSPAN32:NM_001128080:NM_001128082:NM_020286:NM_001128081",862.11930026971,0.378128673838712,0.169782463738522,0.000103942648781449,0.0180241224566753
"LGALS1:NM_008495",3616.12035969893,-0.46196826611901,0.109895129321327,0.000105281397077153,0.0180534200121301
"YWHAH:NM_011738",2785.56705737954,-0.408731399145983,0.113253500073091,0.000108437850263848,0.0183903444299117
"ABHD8:NM_022419",9159.16120685767,0.177455557431734,0.109427142878284,0.000118921970707839,0.0198185340719205
"PFDN2:NM_011070",532.453158250169,-0.760923953181037,0.228783654913044,0.000119427439168574,0.0198185340719205
"IPO7:NM_181517",1205.87537676831,0.0206408115336867,0.141586475653722,0.000120987509212866,0.0198638322306612
"EMB:NM_010330",13324.946530775,-0.424577847798146,0.126769477966596,0.000128897641051891,0.0209107609852338
"ITSN1:NM_001110276:NM_001110275:NM_010587",262.055364638394,-1.08309515434283,0.254613646069927,0.000132783941978417,0.0209107609852338
"NDUFC2:NM_024220",1018.32187007488,-0.515274498744988,0.156271711214727,0.000131782993074872,0.0209107609852338
"PBXIP1:NM_146131",9747.40732400258,0.0362221461863097,0.0971569131367899,0.000131119201923968,0.0209107609852338
"PHTF2:NM_172992",1088.22797811107,-0.176696717462585,0.142373266410779,0.000136172752281283,0.0212278190500711
"TAF15:NM_027427",829.149330178585,-0.470910121259424,0.160111802579588,0.000141746872800678,0.0218757948793287
"GPR65:NM_008152",1096.14395864853,-0.0514739708516661,0.146684825198019,0.000144177563684586,0.0220306172311308
